序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
88,高雄市,左營區,左營,2017/06/23,"臭氧 O3 (ppb)",12,12,10,9.3,5.8,2.4,6.4,14,16,19,24,23,25,27,25,28,37,23,20,18,19,16,9.7,13
89,高雄市,左營區,左營,2017/06/23,"細懸浮微粒 PM 2.5  (μg/m 3 )",1,8,9,9,8,11,,12,13,11,12,7,2,8,9,9,7,16,12,9,3,,8,7
90,高雄市,左營區,左營,2017/06/23,"非甲烷碳氫化合物 NMHC (ppm)",0.02,0.01,0.02,0.03,0.02,0.08,0.12,0.01,0,0,0.02,0.03,0.08,0.32,1.49,5.37,10.07,,0.49,0.2,0.16,0.2,0.29,0.3
91,高雄市,左營區,左營,2017/06/23,"一氧化碳 CO (ppm)",0.12,0.1,0.1,0.11,0.11,0.22,0.21,0.13,0.11,0.09,0.12,0.13,0.12,0.19,0.28,0.14,0.12,0.12,0.11,0.16,0.18,0.23,0.32,0.24
92,高雄市,左營區,左營,2017/06/23,"一氧化氮 NO (ppb)",0.8,0.8,0.9,0.7,1.3,7.5,9.8,3.1,2,2.5,2,2.3,1.4,1.5,1.4,1.7,1.2,0.5,0.8,0.9,1,1.1,1.1,0.8
93,高雄市,左營區,左營,2017/06/23,"二氧化氮 NO2 (ppb)",8.2,8,6.4,5.6,12,16,15,7.4,5.2,6.3,6,6.1,4.8,5,6.1,7.5,6.4,8.5,7.6,8.9,7.8,9.9,16,14
94,高雄市,左營區,左營,2017/06/23,"相對濕度 RH (percent)",78,78,76,75,78,81,80,73,63,64,63,58,63,64,66,68,71,75,76,77,76,76,77,77
95,高雄市,左營區,左營,2017/06/23,"懸浮微粒 PM 10  (μg/m 3 )",13,18,18,19,16,21,18,25,21,25,20,21,21,22,24,31,68,70,58,20,12,16,22,36
96,高雄市,左營區,左營,2017/06/23,"甲烷 CH4 (ppm)",1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,,1.8,1.8,1.8,1.8,1.9,1.9
97,高雄市,左營區,左營,2017/06/23,"風速 WIND_SPEED (m/sec)",0.6,1,1,0.7,0.5,0.5,0.8,1.7,2.8,2.9,1.9,3.9,3.6,3.2,3.6,3.3,2.7,2.4,2,1.9,1.9,0.9,0.7,1
98,高雄市,左營區,左營,2017/06/23,"溫度 AMB_TEMP (℃)",29,29,29,29,29,29,29,30,31,32,33,33,33,33,33,32,31,31,30,30,30,30,30,30
99,高雄市,左營區,左營,2017/06/23,"總碳氫化合物 THC (ppm)",1.8,1.8,1.8,1.8,1.8,1.9,2,1.8,1.8,1.8,1.8,1.8,1.8,2.1,3.3,7.1,12,,2.3,2,1.9,2,2.2,2.2
100,高雄市,左營區,左營,2017/06/23,"小時風速值 WS_HR (m/sec)",0.7,0.9,0.9,0.9,0.7,0.6,0.6,1.2,1.8,3,2.1,2.1,2.7,2.8,2.7,3,2.3,2,1.9,1,1.1,0.9,0.6,0.6
101,高雄市,左營區,左營,2017/06/23,"小時風向值 WD_HR (degrees)",290,279,293,288,313,24,322,300,299,296,282,256,252,240,253,271,266,281,299,330,331,332,341,291
102,高雄市,左營區,左營,2017/06/23,"二氧化硫 SO2 (ppb)",4,2.1,2.2,2.8,5.7,6.3,6.9,4,3,,2,2.1,2.1,2.6,4,8.5,17,3.7,2.5,2,1.7,2,3.7,4.9
103,高雄市,左營區,左營,2017/06/22,"氮氧化物 NOx (ppb)",16,15,20,15,15,19,28,32,26,13,6.3,4.7,4,4.8,4.8,4.8,6.4,6.2,8.2,6.9,10,8.9,7.7,7.6
104,高雄市,左營區,左營,2017/06/22,"風向 WIND_DIREC (degrees)",332,35,123,124,77,87,75,175,216,219,301,280,289,277,282,273,272,270,285,316,322,27,317,314
105,高雄市,左營區,左營,2017/06/22,"臭氧 O3 (ppb)",2.4,2.2,1,4.2,4.8,3.2,5.9,13,19,16,18,20,22,26,25,30,26,23,18,17,15,15,17,15
106,高雄市,左營區,左營,2017/06/22,"細懸浮微粒 PM 2.5  (μg/m 3 )",10,,13,13,9,1,8,6,19,10,9,6,3,5,1,6,3,2,6,7,,6,2,2
107,高雄市,左營區,左營,2017/06/22,"非甲烷碳氫化合物 NMHC (ppm)",0.12,0.13,0.25,0.12,0.12,0.13,0.19,0.23,0.18,0.06,0.01,0,0,-0.01,-0.01,-0.01,0,0,0.01,0,0,0.01,0.02,0.01
108,高雄市,左營區,左營,2017/06/22,"一氧化碳 CO (ppm)",0.19,0.13,0.34,0.25,0.24,0.29,0.43,0.6,0.43,0.18,0.11,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.13,0.11,0.12,0.14,0.15,0.13
109,高雄市,左營區,左營,2017/06/22,"一氧化氮 NO (ppb)",1.8,1.1,4,1.3,1.3,3.2,11,12,7.4,4.4,2,1.3,1.1,1.2,1.4,1.2,1.6,1.4,1.3,1.1,1.3,1.1,1.1,0.9
110,高雄市,左營區,左營,2017/06/22,"二氧化氮 NO2 (ppb)",14,13,16,14,13,16,17,20,19,8.6,4.3,3.5,2.9,3.6,3.4,3.6,4.8,4.8,6.9,5.8,8.9,7.9,6.6,6.7
111,高雄市,左營區,左營,2017/06/22,"相對濕度 RH (percent)",75,78,77,74,72,71,69,65,64,61,57,57,55,60,63,67,70,73,71,74,77,78,77,77
112,高雄市,左營區,左營,2017/06/22,"懸浮微粒 PM 10  (μg/m 3 )",21,20,29,20,29,26,31,31,34,36,29,30,28,25,17,18,20,21,18,20,14,19,13,17
113,高雄市,左營區,左營,2017/06/22,"甲烷 CH4 (ppm)",1.8,1.8,2.1,2,2,1.9,2,2,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
114,高雄市,左營區,左營,2017/06/22,"風速 WIND_SPEED (m/sec)",0.6,1.2,1.8,2.6,0.9,1.2,1.9,1.5,2.5,2.8,3.8,2.6,3,4,4.5,4.5,2.9,3.4,1.9,2,1.5,1.7,1.1,1.2
115,高雄市,左營區,左營,2017/06/22,"溫度 AMB_TEMP (℃)",30,29,29,29,29,29,29,31,32,33,33,33,34,33,33,32,32,31,31,30,30,30,30,30
116,高雄市,左營區,左營,2017/06/22,"總碳氫化合物 THC (ppm)",1.9,2,2.4,2.1,2.1,2.1,2.2,2.2,2.1,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
117,高雄市,左營區,左營,2017/06/22,"小時風速值 WS_HR (m/sec)",0.3,0.7,0.8,1.7,1.3,1.1,1.5,1.3,1.6,1.7,2.1,3.2,2.9,3.8,4.2,4,3.3,4,2.2,2.1,1.5,0.8,0.8,1
118,高雄市,左營區,左營,2017/06/22,"小時風向值 WD_HR (degrees)",263,306,92,103,105,83,87,106,200,221,269,295,291,283,279,274,272,275,271,292,314,347,340,311
119,高雄市,左營區,左營,2017/06/22,"二氧化硫 SO2 (ppb)",4.9,6,4.3,3,3.2,3.7,3.5,6.1,6.1,2.8,1.3,1.2,1.3,2.1,1.5,1.9,1.3,0.5,1.3,0.4,1,0.4,0.5,1.3
120,高雄市,左營區,左營,2017/06/21,"氮氧化物 NOx (ppb)",16,17,26,19,13,13,18,30,21,16,10,8.2,5.8,7.1,6.8,7.2,8,9.9,11,11,13,14,16,17
121,高雄市,左營區,左營,2017/06/21,"風向 WIND_DIREC (degrees)",249,31,50,96,98,155,122,166,202,195,205,229,216,218,187,223,228,251,222,216,167,202,197,209
